2014-10-01,59
2014-10-02,46
2014-10-03,41
2014-10-06,52
2014-10-07,45
2014-10-08,46
2014-10-09,47
2014-10-10,118
2014-10-14,42
2014-10-15,91
2014-10-16,58
2014-10-17,42
2014-10-20,57
2014-10-21,57
2014-10-22,89
2014-10-23,90
2014-10-24,86
2014-10-27,52
2014-10-28,56
2014-10-29,49
2014-10-30,48
2014-10-31,48
2014-11-04,51
2014-11-05,84
2014-11-06,55
2014-11-07,118
2014-11-10,48
2014-11-11,91
2014-11-12,87
2014-11-13,50
2014-11-14,89
2014-11-17,95
2014-11-18,98
2014-11-19,90
2014-11-20,85
2014-11-21,97
2014-11-25,99
2014-11-26,91
2014-11-27,89
2014-11-28,81
